Transaction unique identifier,Price,Date of Transfer,Property Type,Old/New,Duration,Town/City,District,County,PPDCategory Type,Record Status - monthly file only
{9512836C-3BF0-4A18-8540-3B187D0DBC4F},75000,1995-01-04 00:00,S,N,F,ALDERSHOT,RUSHMOOR,HAMPSHIRE,A,A
{25701C7F-D9C2-4A2C-984A-3B18892B64DD},36500,1995-07-31 00:00,D,N,F,GRANTHAM,SOUTH KESTEVEN,LINCOLNSHIRE,A,A
{5F732ADA-AE64-47FA-8B11-3B1896729A31},157500,1995-05-31 00:00,D,N,F,WARE,EAST HERTFORDSHIRE,HERTFORDSHIRE,A,A
{09146794-A5D5-4C52-8E66-49572C251193},184500,1995-03-22 00:00,D,Y,F,SOLIHULL,SOLIHULL,WEST MIDLANDS,A,A
{FCF5FBAE-CC59-417C-94F2-4957374E5EB4},70000,1995-12-08 00:00,S,Y,F,BANBURY,CHERWELL,OXFORDSHIRE,A,A
{7872E672-F131-4AE2-9926-49575B943C31},104000,1995-04-07 00:00,S,N,F,ENFIELD,ENFIELD,GREATER LONDON,A,A
{E9C2D8D2-F35C-4E27-82AF-42391A048C02},67000,1995-01-24 00:00,S,N,F,KING'S LYNN,KING'S LYNN AND WEST NORFOLK,NORFOLK,A,A
{A692446E-9046-4641-A5C2-3EA987CAFA7D},56000,1995-12-15 00:00,S,N,F,LEEDS,LEEDS,WEST YORKSHIRE,A,A
{532C20F8-8201-49EF-AEA8-3EA99680E3FB},43500,1995-09-29 00:00,T,N,F,STOCKPORT,STOCKPORT,GREATER MANCHESTER,A,A
{5F31B4FC-564E-4021-B643-3EA9986AF985},62000,1995-02-21 00:00,T,N,F,LONDON,BARNET,GREATER LONDON,A,A
{1DC76457-915F-48AB-87A0-3EA9998A60D4},47000,1995-09-18 00:00,T,N,F,LEEDS,LEEDS,WEST YORKSHIRE,A,A
{FFAACBD2-EB5A-4C35-9B0B-3B18CA6FE6C6},79500,1995-09-01 00:00,S,N,F,HULL,THE EAST YORKSHIRE BOROUGH OF BEVERLEY,HUMBERSIDE,A,A
{918ECD7D-1CF7-4E4E-9348-3B18D3F79E75},56750,1995-07-28 00:00,S,N,L,MANCHESTER,SALFORD,GREATER MANCHESTER,A,A
{A19FDDFE-E141-49FD-823A-49578C592A7A},23000,1995-09-26 00:00,T,N,F,NORTHAMPTON,NORTHAMPTON,NORTHAMPTONSHIRE,A,A
{61234766-65EE-413A-8A7C-4239591540AB},69950,1995-07-12 00:00,F,N,L,BUDLEIGH SALTERTON,EAST DEVON,DEVON,A,A
{0C92B547-E1F2-4674-8FE8-42396185D3FC},37950,1995-04-21 00:00,T,N,F,SOWERBY BRIDGE,CALDERDALE,WEST YORKSHIRE,A,A
{84973698-094D-4BBF-B4AE-42396C71AF6E},77495,1995-01-05 00:00,T,N,F,LONDON,WALTHAM FOREST,GREATER LONDON,A,A
{328D4F74-5A78-44CD-9766-42396E90FB79},39000,1995-06-30 00:00,T,N,F,NEWPORT,MEDINA,ISLE OF WIGHT,A,A
{3A10938D-F1C0-47F5-B3BE-423985ABA952},92500,1995-06-30 00:00,S,N,F,BUSHEY,HERTSMERE,HERTFORDSHIRE,A,A
{E9B43BCF-A64C-4B1B-98D6-4239956F2F2A},255000,1995-06-30 00:00,D,Y,F,BRISTOL,WOODSPRING,AVON,A,A
{2BEAB69F-2BCD-4D62-B045-423996DE623F},50000,1995-10-16 00:00,D,N,F,NOTTINGHAM,RUSHCLIFFE,NOTTINGHAMSHIRE,A,A
{A72A25BB-4A92-4975-A04A-45C8F7887CDD},26900,1995-10-20 00:00,T,N,F,GUISBOROUGH,LANGBAURGH-ON-TEES,CLEVELAND,A,A
{31F5D8BC-EE7B-4B90-8CC9-45C91BFE89C1},130500,1995-06-21 00:00,D,N,F,ST. ALBANS,ST ALBANS,HERTFORDSHIRE,A,A
{B9768969-67A6-4144-8AB4-45C92F592729},35000,1995-11-24 00:00,S,N,F,SWANSEA,LLIW VALLEY,WEST GLAMORGAN,A,A
{11235ABE-338B-4AD5-AFC4-3EA9B7670E08},60000,1995-08-25 00:00,D,Y,F,MIDDLESBROUGH,MIDDLESBROUGH,MIDDLESBROUGH,A,A
{CF446A06-6347-4C7D-8CCE-3EA9BD5F9685},34000,1995-12-01 00:00,T,N,F,CONGLETON,CONGLETON,CHESHIRE,A,A
{AC95B43C-B2E9-4CD8-A3C1-3EA9C7CD0913},127500,1995-12-15 00:00,S,N,F,WIRRAL,WIRRAL,MERSEYSIDE,A,A
{44B8F66A-BA66-4FC8-B087-3EA9E0299126},72000,1995-04-03 00:00,S,N,F,SWANSEA,LLIW VALLEY,WEST GLAMORGAN,A,A
{4A586127-853E-4750-AD73-3EA9E30DC52B},115000,1995-05-09 00:00,S,N,F,ORPINGTON,BROMLEY,GREATER LONDON,A,A
{A071B6C5-4B29-4E6F-9CDF-3EA9F9C5E09F},59500,1995-01-06 00:00,D,N,F,HARTLEPOOL,HARTLEPOOL,HARTLEPOOL,A,A
{DA62AC33-AEAC-4515-8255-3B19086454DB},78000,1995-10-20 00:00,T,N,F,ST. ALBANS,ST ALBANS,HERTFORDSHIRE,A,A
{452D916A-EA7F-4F63-B5AD-3B19153F6EE3},89000,1995-12-01 00:00,D,N,F,NOTTINGHAM,RUSHCLIFFE,NOTTINGHAMSHIRE,A,A
{254FD952-989F-472E-8C33-4957BC611C73},94000,1995-03-24 00:00,S,N,F,WEST MOLESEY,ELMBRIDGE,SURREY,A,A
{910A0F78-9932-4B0E-968E-4957BD954496},46000,1995-08-09 00:00,F,N,L,CHELMSFORD,CHELMSFORD,ESSEX,A,A
{19E34774-C21B-4B34-89DC-4957CEC6DC37},79500,1995-04-06 00:00,T,N,F,HIGH WYCOMBE,WYCOMBE,BUCKINGHAMSHIRE,A,A
{3BC58F07-877C-485A-8497-4957D3FC3A97},60000,1995-09-29 00:00,D,N,L,NEWCASTLE UPON TYNE,NEWCASTLE UPON TYNE,TYNE AND WEAR,A,A
{5EDE8F8E-40A9-4AA9-B6A1-42399F259D73},40000,1995-05-26 00:00,T,N,F,BRIGHTON,BRIGHTON,EAST SUSSEX,A,A
{D0E72C17-054C-4627-820E-4239A3229750},45000,1995-07-28 00:00,S,N,F,TREDEGAR,BLAENAU GWENT,BLAENAU GWENT,A,A
{97E6AE85-2794-4D88-A896-4239A7B547DD},46500,1995-07-28 00:00,S,N,F,SOUTHAMPTON,SOUTHAMPTON,SOUTHAMPTON,A,A
{F37BFDE1-3649-453C-89BD-4239B3E877EF},44500,1995-03-17 00:00,F,Y,L,EASTBOURNE,EASTBOURNE,EAST SUSSEX,A,A
{8F26E575-EC5C-4F09-A2FB-4239B99B6505},39950,1995-02-28 00:00,S,N,F,DUDLEY,DUDLEY,WEST MIDLANDS,A,A
{BD4407AC-0D15-4C96-8B11-4239BA9E47B1},66950,1995-12-08 00:00,D,Y,L,BEDLINGTON,WANSBECK,NORTHUMBERLAND,A,A
{102584BA-B57F-4EE5-A201-4239BE850B05},85550,1995-01-26 00:00,D,N,F,BEXHILL-ON-SEA,ROTHER,EAST SUSSEX,A,A
{6659807A-9D4F-4B2C-BE51-4239CF7CEEAC},72000,1995-06-23 00:00,D,N,F,WORCESTER,WORCESTER,WORCESTERSHIRE,A,A
{A2FBF78A-13AA-4C07-B66E-45C944577F1D},27500,1995-08-25 00:00,S,N,F,MANCHESTER,MANCHESTER,GREATER MANCHESTER,A,A
{C31CA47B-6B37-4A3E-A5D9-45C96C98E715},61500,1995-08-04 00:00,T,N,F,CRAWLEY,MID SUSSEX,WEST SUSSEX,A,A
{59AF0DFB-45AE-495F-A493-45C96D935815},57500,1995-06-26 00:00,S,N,F,ERITH,BEXLEY,GREATER LONDON,A,A
{97F473B8-019C-4E11-95FD-45C96DDE62B9},85995,1995-12-08 00:00,D,Y,F,NORTHWICH,VALE ROYAL,CHESHIRE,A,A
{CD02FA27-7BAF-4D7E-9EB3-3EAA0C14E91B},132000,1995-12-15 00:00,S,N,F,BROMLEY,BROMLEY,GREATER LONDON,A,A
{D1CD8AEA-8FD1-4B94-8540-3EAA10A42E7E},60000,1995-12-21 00:00,F,N,L,ASHFORD,ASHFORD,KENT,A,A
{773E01F6-D465-46D7-A1FA-3EAA15D64302},19500,1995-07-14 00:00,F,N,F,BIRKENHEAD,WIRRAL,MERSEYSIDE,A,A
{3C01FA3A-78CA-4F28-B05F-3EAA38703D7B},48500,1995-08-08 00:00,S,N,F,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,A,A
{F8AB903C-57DF-47DA-96D5-3B191E83D4D7},36000,1995-12-20 00:00,T,N,F,LEICESTER,HINCKLEY AND BOSWORTH,LEICESTERSHIRE,A,A
{E11E32BA-60C2-4BB6-B681-3B1957E8E330},44000,1995-11-08 00:00,S,N,F,CHELMSFORD,CHELMSFORD,ESSEX,A,A
{DF159DE2-7314-48BB-9E87-3B1959074319},100650,1995-05-26 00:00,D,N,F,NORTHAMPTON,NORTHAMPTON,NORTHAMPTONSHIRE,A,A
{0CFCC725-0208-43CD-9880-4957DAE1362A},82500,1995-11-29 00:00,D,N,F,NUNEATON,HINCKLEY AND BOSWORTH,LEICESTERSHIRE,A,A
{D32119E3-68DD-4909-A1FD-4957F2503C21},81950,1995-02-28 00:00,S,N,F,ALDERSHOT,RUSHMOOR,HAMPSHIRE,A,A
{F01D86AE-DCB4-4586-BECC-49581208C58E},87000,1995-03-24 00:00,D,Y,F,IPSWICH,SUFFOLK COASTAL,SUFFOLK,A,A
{93EFA5CB-2563-48D0-8F4C-4239ECC8276D},49000,1995-11-24 00:00,S,N,F,WIRRAL,WIRRAL,MERSEYSIDE,A,A
{0DDE7D6C-36B4-4659-9CA8-4239F7DB7D90},63000,1995-10-20 00:00,S,N,F,LEEDS,LEEDS,WEST YORKSHIRE,A,A
{2240455C-5844-4BDD-99E6-423A0BB80D4A},128000,1995-04-03 00:00,D,N,F,POOLE,POOLE,POOLE,A,A
{00CF0FF8-1282-4DA2-B652-423A0FBB4F74},59450,1995-05-26 00:00,S,N,L,STOCKPORT,STOCKPORT,GREATER MANCHESTER,A,A
{31D187F2-2604-4D87-B2CA-45C99E99197F},62000,1995-02-28 00:00,F,N,L,RICKMANSWORTH,THREE RIVERS,HERTFORDSHIRE,A,A
{FBECF7CE-3FD7-40A9-B433-3EAA731FABFD},65950,1995-05-26 00:00,D,Y,F,SCUNTHORPE,SCUNTHORPE,HUMBERSIDE,A,A
{7A28E11C-81FE-4BE9-9722-3EAA79DA1D10},90000,1995-11-17 00:00,D,N,F,BICESTER,CHERWELL,OXFORDSHIRE,A,A
{B2611300-90BB-4FF7-AB10-3B195C465BE8},49000,1995-08-21 00:00,T,N,F,WATERLOOVILLE,HAVANT,HAMPSHIRE,A,A
{87E4FE08-B0E8-4AAF-BEC6-3B19798FE294},22500,1995-10-16 00:00,S,N,F,THETFORD,BRECKLAND,NORFOLK,A,A
{A6F2BB05-5CCE-4F30-9543-3B1979F4BFEE},33000,1995-08-18 00:00,T,N,F,BIRMINGHAM,BIRMINGHAM,WEST MIDLANDS,A,A
{D2EBEDB8-56DA-4665-AF6D-4958218D4FBA},29995,1995-06-09 00:00,T,Y,F,MILTON KEYNES,MILTON KEYNES,MILTON KEYNES,A,A
{F4248276-A6E2-4B20-AA50-495834E9E51E},55000,1995-09-12 00:00,D,N,F,KETTERING,KETTERING,NORTHAMPTONSHIRE,A,A
{F33D6FEA-36D6-41CF-8084-49584762EFCB},86500,1995-03-09 00:00,T,N,F,WOODFORD GREEN,WALTHAM FOREST,GREATER LONDON,A,A
{CA3DFC79-B823-4A95-829A-495847BFF224},40000,1995-06-30 00:00,T,N,L,HIGH PEAK,HIGH PEAK,DERBYSHIRE,A,A
{FCB85BB3-F9C3-4CD8-BDA4-423A1D5A4578},82000,1995-10-27 00:00,S,N,F,FALMOUTH,KERRIER,CORNWALL,A,A
{E00DF5F9-0227-4A44-A82A-45C9CA2A593F},43750,1995-07-21 00:00,T,Y,F,PLYMOUTH,PLYMOUTH,DEVON,A,A
{A4B6B27B-A80B-4C28-A9B9-3EAA94075DD8},45500,1995-05-12 00:00,S,N,F,STOURBRIDGE,DUDLEY,WEST MIDLANDS,A,A
{24712943-85FD-46D3-B9CD-3EAA9CCB707D},45950,1995-05-26 00:00,T,N,L,BURY,BURY,GREATER MANCHESTER,A,A
{D8F79D6B-6C00-49A4-A961-3B19976CDFF6},45000,1995-02-28 00:00,D,N,F,SPALDING,SOUTH HOLLAND,LINCOLNSHIRE,A,A
{5BBE9CB3-6332-4EB0-9CD3-8737CEA4A65A},42000,1995-12-21 00:00,S,N,F,NEWCASTLE UPON TYNE,NEWCASTLE UPON TYNE,TYNE AND WEAR,A,A
{20E2441A-0F16-49AB-97D4-8737E62A5D93},95000,1995-03-03 00:00,S,N,F,GRAYS,THURROCK,THURROCK,A,A
{D893EE64-4464-44B5-B01B-8E62403ED83C},74950,1995-10-03 00:00,D,Y,F,MIDDLEWICH,CONGLETON,CHESHIRE,A,A
{F9F753A8-E56A-4ECC-9927-8E626A471A92},43500,1995-11-14 00:00,S,N,F,BILLINGHAM,STOCKTON-ON-TEES,STOCKTON-ON-TEES,A,A
{E166398A-A19E-470E-BB5A-83B4C254CF6D},63000,1995-09-08 00:00,S,N,F,CLEATOR MOOR,COPELAND,CUMBRIA,A,A
{A9A3C463-3CA0-4D71-8CF9-83B4D0536EEA},29995,1995-05-12 00:00,S,N,F,WISBECH,KING'S LYNN AND WEST NORFOLK,NORFOLK,A,A
{8DE57D57-DDC3-4993-8C33-83B4E5BAA543},105000,1995-11-30 00:00,D,N,F,SHEFFIELD,SHEFFIELD,SOUTH YORKSHIRE,A,A
{568DE11A-432B-4DA3-B9A4-83B4EC4BD127},121250,1995-05-19 00:00,F,N,L,LONDON,BARNET,GREATER LONDON,A,A
{F7A5CAE4-BDD3-4911-897C-8AC393B97281},43000,1995-12-01 00:00,T,N,F,CARNFORTH,CRAVEN,NORTH YORKSHIRE,A,A
{DED4E551-6B96-40FB-98E9-8AC3B9071356},128500,1995-03-01 00:00,T,N,F,LONDON,WANDSWORTH,GREATER LONDON,A,A
{84CE6A8C-3D0F-47F8-8442-8E62807A726D},33000,1995-11-03 00:00,S,N,F,COVENTRY,COVENTRY,WEST MIDLANDS,A,A
{F5F9C3FD-8684-4D4E-B5B8-8E629F77474C},77500,1995-05-19 00:00,D,N,F,YEOVIL,SOUTH SOMERSET,SOMERSET,A,A
{D263B73F-7C3A-4062-A432-83B51327C389},59995,1995-07-21 00:00,T,N,F,SLOUGH,SLOUGH,SLOUGH,A,A
{C5FF7611-A5A8-449D-A78A-83B513500DD7},115950,1995-03-24 00:00,D,Y,F,BRACKNELL,BRACKNELL FOREST,BRACKNELL FOREST,A,A
{70D9ADE8-D76A-47CD-874D-83B5151C19ED},26350,1995-11-24 00:00,T,N,F,DONCASTER,DONCASTER,SOUTH YORKSHIRE,A,A
{79B19868-18CF-4AFD-9660-83B535502A0C},27500,1995-05-19 00:00,T,N,F,COVENTRY,COVENTRY,WEST MIDLANDS,A,A
{8A5F7A96-0865-46E3-B3D9-91F47C16313A},157500,1995-03-17 00:00,S,N,F,LONDON,ISLINGTON,GREATER LONDON,A,A
{60CF8CE4-7269-4F41-9062-91F4932AC4A2},110995,1995-11-09 00:00,F,Y,L,LONDON,LAMBETH,GREATER LONDON,A,A
{C03038E8-1504-4249-BDF9-91F4A24C8E35},34000,1995-08-18 00:00,F,N,L,THORNTON-CLEVELEYS,WYRE,LANCASHIRE,A,A
{95F22B84-A5E2-456C-9340-8737EB37D141},39500,1995-02-10 00:00,S,N,F,PUDSEY,LEEDS,WEST YORKSHIRE,A,A
{3769C849-73ED-4BE8-A22D-87381AF1C293},48500,1995-08-01 00:00,F,N,L,FELIXSTOWE,SUFFOLK COASTAL,SUFFOLK,A,A
{4BEC9D35-FE45-46E7-A792-87381D0D641D},23250,1995-07-21 00:00,T,N,F,BARRY,VALE OF GLAMORGAN,SOUTH GLAMORGAN,A,A
{AA71606E-1475-4145-8AC5-873828E32914},66000,1995-03-24 00:00,S,N,F,SCARBOROUGH,SCARBOROUGH,NORTH YORKSHIRE,A,A
{03F24297-4981-457A-B128-8E62B91063DC},95000,1995-11-17 00:00,S,Y,F,PETERSFIELD,WINCHESTER,HAMPSHIRE,A,A
{187BB53D-F6EA-4D06-B773-8E62BDBD727B},112500,1995-03-24 00:00,D,N,F,WESTON-SUPER-MARE,WOODSPRING,AVON,A,A
{9721939A-CD0C-4994-A810-8E62BDFE42A2},36500,1995-06-30 00:00,T,N,F,STOKE-ON-TRENT,STAFFORDSHIRE MOORLANDS,STAFFORDSHIRE,A,A
{93F01E61-FAC3-48D6-8A23-8E62DF6C15A3},57600,1995-05-24 00:00,S,N,F,LIVERPOOL,SEFTON,MERSEYSIDE,A,A
{0611A7D6-9C8F-40BC-BC7C-83B568B558AC},47995,1995-01-31 00:00,T,Y,F,BARRY,VALE OF GLAMORGAN,SOUTH GLAMORGAN,A,A
{1360C8ED-3236-4F98-8B92-83B5732FC11B},55500,1995-10-27 00:00,S,N,F,PENZANCE,PENWITH,CORNWALL,A,A
{D28EDCFC-0F17-48D9-A03D-91F4CC28FB41},38500,1995-07-28 00:00,S,Y,F,BUCKLEY,ALYN AND DEESIDE,CLWYD,A,A
{9FE1BC51-ED7D-42EF-A702-8AC3DB701917},70000,1995-05-12 00:00,T,N,F,HARROGATE,HARROGATE,NORTH YORKSHIRE,A,A
{625D11E2-4EC8-4F4E-8461-8AC3E9E52FD4},65000,1995-11-07 00:00,S,N,F,LEIGH-ON-SEA,SOUTHEND-ON-SEA,SOUTHEND-ON-SEA,A,A
{B9B8940D-CC04-4B52-AFD5-873834A39391},45000,1995-10-13 00:00,S,N,F,COTTINGHAM,THE EAST YORKSHIRE BOROUGH OF BEVERLEY,HUMBERSIDE,A,A
{2D95D765-C921-4660-A97C-87383B7F9C88},39000,1995-05-19 00:00,F,N,L,LITTLEHAMPTON,ARUN,WEST SUSSEX,A,A
{969592B0-5CBA-4E9B-AD77-87385A317EFB},67000,1995-03-17 00:00,S,N,F,STOURBRIDGE,DUDLEY,WEST MIDLANDS,A,A
{00067C19-4FD9-49F3-B1F1-8738623D92E3},27000,1995-04-20 00:00,F,N,L,BEVERLEY,THE EAST YORKSHIRE BOROUGH OF BEVERLEY,HUMBERSIDE,A,A
{4FFBEFCC-63F8-46A4-B245-8E62FA58BCEB},100700,1995-10-23 00:00,D,N,F,LEAMINGTON SPA,WARWICK,WARWICKSHIRE,A,A
{E9BF7CC1-7EA0-45A8-BF43-8E6311DFF5C6},41000,1995-10-20 00:00,D,N,F,NEWTON-LE-WILLOWS,ST HELENS,MERSEYSIDE,A,A
{8D28EE68-8F4F-4C7D-8A33-8E6335277383},180000,1995-11-16 00:00,F,N,L,LONDON,CITY OF WESTMINSTER,GREATER LONDON,A,A
{3DEDA117-E316-4349-B882-83B58B659205},63500,1995-04-20 00:00,S,N,F,NORTHAMPTON,DAVENTRY,NORTHAMPTONSHIRE,A,A
{29C65FE4-D591-4A9A-B961-83B59472A8B9},116750,1995-06-30 00:00,D,Y,F,WARRINGTON,WARRINGTON,WARRINGTON,A,A
{2E9A814C-34A0-48CC-8A8A-83B599E24B2A},62800,1995-06-30 00:00,S,N,F,BURGESS HILL,MID SUSSEX,WEST SUSSEX,A,A
{A7ADDF28-655C-4A5F-8E60-83B59B7DF2FB},59500,1995-02-07 00:00,T,N,F,ALTON,EAST HAMPSHIRE,HAMPSHIRE,A,A
{F61B3F08-4187-4204-A023-91F508C4A365},69950,1995-06-30 00:00,D,Y,F,TELFORD,THE WREKIN,SHROPSHIRE,A,A
{E76CCDAE-3A80-434F-99C3-91F5106F74E3},35200,1995-06-09 00:00,F,N,L,BALDOCK,NORTH HERTFORDSHIRE,HERTFORDSHIRE,A,A
{70CFEE2A-64F1-4FA8-AF97-87386F579574},31000,1995-05-12 00:00,F,N,L,DUNSTABLE,SOUTH BEDFORDSHIRE,BEDFORDSHIRE,A,A
{C4523837-9746-488B-8CCF-83B5C7C0B271},142000,1995-01-27 00:00,D,N,F,NEWBURY,NEWBURY,BERKSHIRE,A,A
{C2FF025C-9092-4B8C-9C3C-83B5E6F2C219},26500,1995-03-06 00:00,T,N,F,CHARD,SOUTH SOMERSET,SOMERSET,A,A
{3077B721-0889-4324-AD10-83B5FB5E488F},61500,1995-04-18 00:00,S,Y,L,WILMSLOW,MACCLESFIELD,CHESHIRE,A,A
{7F5EA220-E2DC-46E0-80EF-83B601ABFD78},59999,1995-01-31 00:00,S,N,F,DIDCOT,SOUTH OXFORDSHIRE,OXFORDSHIRE,A,A
{EE986F49-417E-4DA6-AD24-83B603B553FA},69950,1995-06-27 00:00,S,N,F,SOUTHAMPTON,TEST VALLEY,HAMPSHIRE,A,A
{3A2C1686-03CE-434B-86A9-83B60657A3F0},23950,1995-05-26 00:00,T,N,F,GRANTHAM,SOUTH KESTEVEN,LINCOLNSHIRE,A,A
{7CC0B4E4-8D33-4ED7-AA63-91F54B7A70D3},48500,1995-10-20 00:00,S,N,F,NEWMARKET,ST EDMUNDSBURY,SUFFOLK,A,A
{0D6A6A93-DB0C-4834-ACBE-91F550E31A7C},43500,1995-07-07 00:00,T,Y,F,NORTHAMPTON,NORTHAMPTON,NORTHAMPTONSHIRE,A,A
{1110C2A2-CFCC-46EC-9292-8AC4427B9292},48000,1995-02-20 00:00,F,N,L,MIDHURST,CHICHESTER,WEST SUSSEX,A,A
{B8318745-E2FD-44EF-B545-8AC44AAE121B},64950,1995-08-04 00:00,D,N,F,BRIERLEY HILL,DUDLEY,WEST MIDLANDS,A,A
{8B08088C-5E4B-40A6-9361-8AC46012F5B1},124500,1995-04-11 00:00,S,N,F,UXBRIDGE,HILLINGDON,GREATER LONDON,A,A
{AC367278-4C55-4C0A-906F-8AC466B017C0},48950,1995-02-03 00:00,T,N,F,BIRMINGHAM,BIRMINGHAM,WEST MIDLANDS,A,A
{B88D58C5-4E20-4B18-96B9-8738B69FD4F0},147000,1995-11-29 00:00,S,N,F,DOVER,DOVER,KENT,A,A
{457827BB-15B9-4B84-BFFE-8738D8B5780F},64000,1995-09-01 00:00,T,N,F,YEOVIL,SOUTH SOMERSET,SOMERSET,A,A
{05A1880B-83F8-44E5-8222-8E637D6AA0B9},59000,1995-06-21 00:00,S,N,F,BURGESS HILL,MID SUSSEX,WEST SUSSEX,A,A
{F694BEC4-5DC1-4C08-9DB4-8E638D521D7D},57000,1995-01-27 00:00,S,N,F,LEICESTER,BLABY,LEICESTERSHIRE,A,A
{8CB7F04C-B402-4AB0-AC13-8E6392ACFBD9},26500,1995-02-20 00:00,T,N,F,SHEFFIELD,SHEFFIELD,SOUTH YORKSHIRE,A,A
{804F8E03-951F-495E-A172-8E639F541C5F},136000,1995-11-28 00:00,S,N,F,OXTED,TANDRIDGE,SURREY,A,A
{064AFAC5-9F97-4646-82F8-8E63A8FA120A},62000,1995-05-03 00:00,S,N,F,OXFORD,OXFORD,OXFORDSHIRE,A,A
{F5ACA0FF-58E3-47D9-9967-8E63AA6EAB43},52000,1995-03-31 00:00,S,N,F,PORTHCAWL,OGWR,MID GLAMORGAN,A,A
{BC142EB1-2E89-4F48-9BBC-83B61237EF94},77000,1995-03-23 00:00,D,Y,F,HEREFORD,SOUTH HEREFORDSHIRE,HEREFORD AND WORCESTER,A,A
{5F8F69D0-70CA-45E8-8EA2-83B62CEABEA7},88000,1995-11-15 00:00,T,N,F,SEVENOAKS,SEVENOAKS,KENT,A,A
{5AC92E8F-F3FF-431D-9A21-83B62E0D1CAE},58000,1995-06-09 00:00,S,N,F,CHELMSFORD,CHELMSFORD,ESSEX,A,A
{5B930ACF-A3EE-4B2B-9F23-83B633900CF1},46000,1995-07-07 00:00,T,N,F,COLCHESTER,COLCHESTER,ESSEX,A,A
{9CA1CC9A-4549-4F2A-A6EF-91F5739BDA3E},90000,1995-09-22 00:00,T,N,F,LONDON,BARNET,GREATER LONDON,A,A
{D62C5CBD-213D-4A5C-B1A5-91F5951CD5C8},30000,1995-05-23 00:00,S,N,F,COLCHESTER,COLCHESTER,ESSEX,A,A
{CA29A6E4-6129-4AAA-97A9-91F5A2292574},81000,1995-06-08 00:00,S,N,F,WALLASEY,WIRRAL,MERSEYSIDE,A,A
